iter,time_sec,res_norm
1,0.0034269000170752406,17.497871543783816
2,0.006148400017991662,15.119508058869968
3,0.009993300016503781,13.456681129060748
4,0.012446200009435415,12.20250725665175
5,0.014969600015319884,11.252456130430163
6,0.01728719999664463,10.515219253391454
7,0.019757700007176027,9.851290685675094
8,0.022574200003873557,9.466605376489525
9,0.0265683000034187,9.107753606033517
10,0.029486400017049164,8.831045538111468
11,0.03247989999363199,8.533414713174007
12,0.03537290001986548,8.268592094920162
13,0.03817480002180673,8.052133892414304
14,0.04087320002145134,7.816827887527491
15,0.04386249999515712,7.6173486301918745
16,0.04761140001937747,7.4413206190622825
17,0.05055489999358542,7.279774310623494
18,0.054319200018653646,7.131171937440097
19,0.05724210001062602,6.994736163313825
20,0.06012229999760166,6.873758836949925
21,0.06313540000701323,6.766750607648459
22,0.06612040000618435,6.65043930701627
23,0.06971390001126565,6.5500565694656965
24,0.07314700001734309,6.458224954834964
25,0.07655570001224987,6.367031349106745
26,0.08009410000522621,6.2737255110132715
27,0.08358550001867115,6.174004894161487
28,0.08757410000544041,6.100753086975959
29,0.09120830000028946,6.017934394207807
30,0.09491499999421649,5.947470459859646
31,0.09873300002072938,5.8866676970267795
32,0.10279530001571402,5.828346620850393
33,0.1068371000001207,5.773738170742155
34,0.11093379999510944,5.718496804107039
35,0.11500770002021454,5.663413885997646
36,0.11935769999399781,5.603570378975501
37,0.12382020000950433,5.543915604307835
38,0.12886680001975037,5.4881518398543685
39,0.1334086999995634,5.43570329187378
40,0.13933360000373796,5.384343316724718
41,0.14564380000228994,5.33773268208418
42,0.15051880001556128,5.292120286876133
43,0.15610469999955967,5.244234069552007
44,0.16098570000031032,5.1980930875785685
45,0.16594820001046173,5.154564689388924
46,0.17129680002108216,5.110902545315055
47,0.1764594000123907,5.068812752433428
48,0.18168090001563542,5.025858879170745
49,0.18699550000019372,4.984598689128053
50,0.19244509999407455,4.945316886231117
51,0.19828350000898354,4.909376661559337
52,0.2046324000111781,4.8702552238923
53,0.21114430000307038,4.837964467438178
54,0.21816650000982918,4.8043313169499084
55,0.22538129999884404,4.772012454582225
56,0.23250260000349954,4.7398155356986695
57,0.24012570001650602,4.709728387757602
58,0.24740590000874363,4.680415487481778
59,0.255094399995869,4.651548345707522
60,0.264163500018185,4.624758105882181
61,0.2721573000017088,4.5968266211466355
62,0.2804889999970328,4.567964814803953
63,0.2888853000185918,4.539015136479442
64,0.29880670001148246,4.512764667273686
65,0.30896779999602586,4.484082991944919
66,0.3184798000147566,4.455240551253589
67,0.3296570999955293,4.4264396451864565
68,0.3387446000124328,4.400585004327181
69,0.34976720000850037,4.374452456223909
70,0.3601867000106722,4.346348659387057
71,0.36960370000451803,4.315678324576407
72,0.3813893000187818,4.291210832962137
73,0.3915549000084866,4.267134115293182
74,0.40097320001223125,4.241719081028977
75,0.4109926999954041,4.218083008931669
76,0.4205177999974694,4.194153658613893
77,0.4315772000118159,4.169180204642976
78,0.44102810000185855,4.1456574933854755
79,0.45053240002016537,4.12272529244831
80,0.4599397999991197,4.097473345555092
81,0.4695083000115119,4.072700896426147
82,0.47917050000978634,4.047149145152004
83,0.4889007000019774,4.0221395137109734
84,0.49872090001008473,4.000557805421871
85,0.5086688000010327,3.9790973137285772
86,0.5188043999951333,3.956739276980453
87,0.5291616000176873,3.9356521526461092
88,0.5396103000093717,3.913850514463805
89,0.5507275999989361,3.8931230023521977
90,0.5617631000059191,3.8710735175063653
91,0.5729516000137664,3.850174304895003
92,0.5842632999992929,3.8297876831734556
93,0.5958146000048146,3.8088656017813736
94,0.6075583000201732,3.788587834590342
95,0.6194233999995049,3.7682498242157605
96,0.6310865000123158,3.7500337013620646
97,0.6440317000087816,3.7314572555735697
98,0.6561071000178345,3.7136384379400504
99,0.6697409000189509,3.694511036285965
100,0.682288600015454,3.676457076146129
101,0.6951771000167355,3.657059192743676
102,0.7081557000055909,3.6379351481483457
103,0.7211670000106096,3.6199364991854712
104,0.7343879000109155,3.601438299072856
105,0.748300700011896,3.5828264083771817
106,0.7631727000116371,3.565339505837051
107,0.7786367000080645,3.5472964547333925
108,0.7951274999941234,3.5290369526105825
109,0.8132436000159942,3.510474124506951
110,0.831753700011177,3.4913304867285038
111,0.8506916000042111,3.472510868190974
112,0.8710256000049412,3.4519151651783173
113,0.8914857000054326,3.4349633757924947
114,0.9103124999965075,3.4165850097128354
115,0.9282734000007622,3.398793266241853
116,0.9460492000216618,3.380398994033051
117,0.9638952999957837,3.3622051843704934
118,0.9829866000218317,3.346989870652494
119,1.002910500013968,3.330924081134927
120,1.0254569000098854,3.3160261494935805
121,1.0452227000205312,3.3010142510463756
122,1.063370899995789,3.2853646060194115
123,1.0819760000158567,3.269109990959672
124,1.1008579000190366,3.2529464554450356
125,1.1207069999945816,3.2358559127239936
126,1.1412572000117507,3.219403785479288
127,1.1622370000113733,3.2021508901407034
128,1.1828535000095144,3.185615592175158
129,1.2009143000177573,3.168206226140298
130,1.2199851000041235,3.1502368355978407
131,1.239560200017877,3.1321502555126925
132,1.2585747000121046,3.1167038237865685
133,1.276650800020434,3.101037656339357
134,1.2946409000142012,3.085120788841743
135,1.312747500021942,3.0687187985418447
136,1.3314760000212118,3.0523224441714873
137,1.3514310000173282,3.0363247078806275
138,1.3733387000102084,3.0214518121962786
139,1.3933920999988914,3.005590784942886
140,1.4126307000115048,2.9906246574727424
141,1.4322958000120707,2.975443704643398
142,1.4544485000078566,2.960275125470809
143,1.4760805999976583,2.9450315455213545
144,1.496489000011934,2.9289369488067285
