iter,time_sec,res_norm
1,0.1266209000023082,6.024663104873946
2,0.32518099999288097,4.1888159963405585
3,0.5276065999933053,3.630123061918284
4,0.7491807999904267,3.322478821697234
5,0.9711850000021514,3.2337313877733855
6,1.13977700000396,3.3249523836596833
