iter,time_sec,res_norm
1,0.11677369999233633,3.206130147799423
2,0.23395029999664985,2.609107025496555
3,0.3504012000048533,2.39498544069247
4,0.46638629998778924,2.281280345982011
5,0.5850111999898218,2.229897317843121
6,0.7027512000058778,2.1756538920763764
7,0.8202305999875534,2.1588551070455555
8,0.937094499997329,2.14738898698891
9,1.059048700000858,2.1395605398645894
10,1.1895818999910261,2.1117560977835357
11,1.3151656999834813,2.106965111349454
12,1.440998199977912,2.105151839632017
13,1.5604746000026353,2.1102835765316628
